row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
1097,True,BERT,avg,cosine_similarity,Ridge Regression,concatenated_datasets,validation_df,42,0,0,2023-05-28 01:08:41,0.79077227474107,0.3398724507244348,3.538163480935675e-102,0.4588548601864181,0.1902199576731097,0.1956053595603865,0.1904884512297029,0.4588548601864181,0.4588548601864181,0.4588548601864181,0.4636091886101717,0.4588548601864181,0.4560169505410418
1098,True,BERT,avg,cosine_similarity,Isotonic Regression,concatenated_domains,train_df,42,0,0,2023-05-28 01:08:41,0.9769628165236128,0.4344103212474802,0.0,0.3065729699034639,0.430125720297551,0.2124988816541269,0.1734803610167771,0.3065729699034639,0.3065729699034639,0.3065729699034639,0.5043304575655078,0.3065729699034639,0.2488306777497495
1099,True,BERT,avg,cosine_similarity,Isotonic Regression,concatenated_domains,test_df,42,0,0,2023-05-28 01:08:41,0.9614003000791168,0.4408921947969057,4.259988846737286e-191,0.3113043478260869,0.4589600509424256,0.2136764739983304,0.1764125581312429,0.3113043478260869,0.3113043478260869,0.3113043478260869,0.5084128762232949,0.3113043478260869,0.2523580972614465
1100,True,BERT,avg,cosine_similarity,Isotonic Regression,concatenated_domains,validation_df,42,0,0,2023-05-28 01:08:41,0.970768834346381,0.4369555172045247,1.2268400562117822e-94,0.30849478390462,0.4064415084104813,0.2078423120966691,0.1691211173669301,0.30849478390462,0.30849478390462,0.30849478390462,0.4681018970833879,0.30849478390462,0.2472753010376792
1101,True,BERT,avg,cosine_similarity,Linear Regression,concatenated_domains,train_df,42,0,0,2023-05-28 01:08:41,1.0127021442014008,0.3581472446107985,0.0,0.3045144804088586,0.202473763938826,0.1743882463683558,0.1326249687732518,0.3045144804088586,0.3045144804088586,0.3045144804088586,0.438662406766627,0.3045144804088586,0.2449269021347325
1102,True,BERT,avg,cosine_similarity,Linear Regression,concatenated_domains,test_df,42,0,0,2023-05-28 01:08:41,0.991827235475392,0.3780172310179067,6.5669587912446365e-137,0.306832298136646,0.1783668747780503,0.1518905044974562,0.1152171640046621,0.306832298136646,0.306832298136646,0.306832298136646,0.439432182354029,0.306832298136646,0.2437512274459997
1103,True,BERT,avg,cosine_similarity,Linear Regression,concatenated_domains,validation_df,42,0,0,2023-05-28 01:08:42,1.0082420907270329,0.3571178086863582,1.3151310845199509e-61,0.3114754098360656,0.1922056888808238,0.1716260685304837,0.1298323555920385,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.4136318150293442,0.3114754098360656,0.2471174070577169
1104,True,BERT,avg,cosine_similarity,Ridge Regression,concatenated_domains,train_df,42,0,0,2023-05-28 01:08:42,1.0127042364946237,0.3581472446107986,0.0,0.3044434980124929,0.2023491079560097,0.1744201097393405,0.1324495822563592,0.3044434980124929,0.3044434980124929,0.3044434980124929,0.4382894935387234,0.3044434980124929,0.2444389941201435
1105,True,BERT,avg,cosine_similarity,Ridge Regression,concatenated_domains,test_df,42,0,0,2023-05-28 01:08:42,0.9918706512146962,0.3780172310179068,6.5669587912431415e-137,0.3070807453416149,0.1789944128029463,0.1519756543612165,0.115353803295815,0.3070807453416149,0.3070807453416149,0.3070807453416149,0.4412517064956766,0.3070807453416149,0.244163704024987
1106,True,BERT,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation_df,42,0,0,2023-05-28 01:08:42,1.0082775642598312,0.3571178086863582,1.3151310845199509e-61,0.3119721808246398,0.1933009480171584,0.1719095152425019,0.1299790024562531,0.3119721808246398,0.3119721808246398,0.3119721808246398,0.4163031049231449,0.3119721808246398,0.2473968575104013
1107,True,BERT,avg,cosine_similarity,Isotonic Regression,texas,train_df,42,0,0,2023-05-28 01:08:42,1.0412345613122422,0.3605922846723516,4.785248179821826e-50,0.3802639849151477,0.1917726190446488,0.1885827189045225,0.1373786608212254,0.3802639849151477,0.3802639849151477,0.3802639849151477,0.4860449252700053,0.3802639849151477,0.3077520437682092
1108,True,BERT,avg,cosine_similarity,Isotonic Regression,texas,test_df,42,0,0,2023-05-28 01:08:42,1.0673123396415671,0.3649897434481465,9.4085457654969e-16,0.3656387665198238,0.4323739035087719,0.215643314342546,0.1853044107618178,0.3656387665198238,0.3656387665198238,0.3656387665198238,0.5628445252724322,0.3656387665198238,0.3092830798771218
1109,True,BERT,avg,cosine_similarity,Isotonic Regression,texas,validation_df,42,0,0,2023-05-28 01:08:42,0.9666378521001966,0.33345489863015,2.5267985804451505e-07,0.4078947368421052,0.2156333449436898,0.2043712991988854,0.1464385231626611,0.4078947368421052,0.4078947368421052,0.4078947368421052,0.5862573099415205,0.4078947368421052,0.3390350877192983
1110,True,BERT,avg,cosine_similarity,Linear Regression,texas,train_df,42,0,0,2023-05-28 01:08:42,1.076650290324089,0.2642710046142033,7.853591548637406e-27,0.3192960402262728,0.2239843713223179,0.1725879504620016,0.0980033273071937,0.3192960402262728,0.3192960402262728,0.3192960402262728,0.5864152713980126,0.3192960402262728,0.1900664556555822
1111,True,BERT,avg,cosine_similarity,Linear Regression,texas,test_df,42,0,0,2023-05-28 01:08:42,1.0902360107589004,0.3073677270760459,2.1739562883167847e-11,0.2907488986784141,0.222166392593946,0.1729025311330764,0.0908147904692764,0.2907488986784141,0.2907488986784141,0.2907488986784141,0.6027245484641867,0.2907488986784141,0.1589712382222921
1112,True,BERT,avg,cosine_similarity,Linear Regression,texas,validation_df,42,0,0,2023-05-28 01:08:42,0.99841846678351,0.2286437788521301,0.0005020172798035,0.3026315789473684,0.2163608562691131,0.1698885405781957,0.0874021909233176,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.5950828907130211,0.3026315789473684,0.1664236883288032
